LAT,LONG,GOBS
-21.23528,-54.45125,978535.09
-21.24202,-54.44921,978536.95
-21.24651,-54.44769,978539.29
-21.25245,-54.45240,978543.14
-21.25748,-54.45665,978545.31
-21.26342,-54.46088,978545.76
-21.26935,-54.46511,978551.02
-21.27529,-54.46983,978555.99
-21.28169,-54.47502,978560.45
-21.28717,-54.47974,978565.26
-21.29479,-54.47576,978562.98
-21.30109,-54.47468,978560.22
-21.30874,-54.47263,978558.35
-21.31548,-54.47058,978558.21
-21.32273,-54.47239,978558.09
-21.32997,-54.47371,978558.08
-21.19705,-54.46057,978543.84
-21.25461,-54.44562,978542.79
-21.26269,-54.44259,978549.84
-21.27303,-54.43953,978550.75
-21.27977,-54.43748,978557.71
-21.28786,-54.43542,978560.09
-21.29774,-54.43235,978563.00
-21.30280,-54.43805,978565.50
-21.30739,-54.44327,978568.77
-21.30931,-54.45046,978568.14
-21.31706,-54.45562,978563.62
-21.33717,-54.47214,978555.87
-21.34069,-54.46630,978557.85
-21.34512,-54.46044,978557.22
-21.34999,-54.45409,978555.31
-21.30403,-54.42984,978563.12
-21.31123,-54.42875,978564.96
-21.31839,-54.42477,978569.15
-21.32465,-54.42032,978569.67
-21.33139,-54.41876,978565.43
-21.33950,-54.41765,978562.48
-21.34670,-54.41608,978560.42
-21.35345,-54.41500,978557.82
-21.36110,-54.41342,978558.60
-21.36830,-54.41185,978560.40
-21.37551,-54.41076,978558.87
-21.38322,-54.41351,978561.63
-21.39049,-54.41628,978566.48
-21.39730,-54.41905,978572.66
-21.40051,-54.42189,978575.14
-21.39973,-54.43009,978576.42
-21.39980,-54.43443,978579.68
-21.39306,-54.43648,978579.33
-21.38588,-54.43949,978574.05
-21.37869,-54.44155,978565.71
-21.37105,-54.44361,978561.17
-21.35881,-54.44045,978557.66
-21.35242,-54.43574,978558.02
-21.34603,-54.43103,978558.86
-21.34054,-54.42679,978560.92
-21.40474,-54.43290,978577.51
-21.41283,-54.43083,978581.53
