LAT,LONG,GOBS
-22.14325,-54.96013,978624.69
-22.14074,-54.95739,978625.96
-22.13706,-54.95791,978628.0
-22.13399,-54.95847,978631.31
-22.15245,-54.9618,978622.96
-22.15271,-54.95738,978625.27
-22.15225,-54.95364,978626.82
-22.14803,-54.95315,978625.24
-22.14898,-54.94948,978627.06
-22.14444,-54.95026,978627.97
-22.14062,-54.95076,978627.51
-22.13621,-54.95186,978630.63
-22.13334,-54.95218,978632.83
-22.13176,-54.94861,978632.26
-22.15006,-54.94517,978629.1
-22.14934,-54.94061,978632.68
-22.14929,-54.93579,978634.38
-22.1502,-54.93227,978635.39
-22.15392,-54.93266,978639.03
-22.15791,-54.93354,978635.06
-22.16235,-54.93456,978632.73
-22.1672,-54.93616,978630.73
-22.17123,-54.9378,978629.96
-22.17538,-54.93952,978629.41
-22.1832,-54.92874,978621.98
-22.17888,-54.92856,978624.4
-22.17458,-54.92787,978628.12
-22.17019,-54.92613,978630.88
-22.16787,-54.92538,978631.52
-22.17126,-54.92355,978630.5
-22.1741,-54.92029,978628.04
-22.17421,-54.9169,978631.31
-22.17088,-54.91581,978632.62
-22.17777,-54.91882,978628.3
-22.1804,-54.92135,978624.77
-22.18441,-54.9209,978622.55
-22.1887,-54.9191,978622.33
-22.19063,-54.89855,978624.4
-22.18653,-54.89761,978625.46
-22.18208,-54.89662,978625.93
-22.17786,-54.89596,978628.54
-22.17387,-54.89494,978628.55
-22.1692,-54.89348,978630.74
-22.16505,-54.89214,978633.18
-22.1618,-54.89522,978630.4
-22.15844,-54.89766,978630.28
-22.15411,-54.89925,978631.01
-22.15054,-54.89781,978628.28
-22.14709,-54.89484,978626.5
-22.14358,-54.89263,978626.88
-22.13939,-54.89362,978624.78
-22.13679,-54.89649,978626.42
-22.13355,-54.89976,978630.43
-22.1299,-54.90126,978634.64
-22.12512,-54.89939,978635.86
-22.12286,-54.89629,978633.29
-22.12215,-54.89207,978630.44
-22.12001,-54.88795,978631.89
-22.14596,-54.93277,978633.76
-22.14163,-54.93139,978631.85
-22.13766,-54.9295,978630.17
-22.13348,-54.92854,978628.77
-22.13024,-54.9262,978627.51
-22.12633,-54.92716,978626.61
-22.12283,-54.92829,978631.48
-22.11964,-54.92773,978634.83
-22.11767,-54.92402,978633.04
-22.11363,-54.92234,978632.24
-22.10944,-54.92086,978632.1
-22.10819,-54.9182,978630.1
-22.10843,-54.91366,978626.59
-22.10869,-54.90891,978625.05
-22.11202,-54.90818,978623.6
-22.11216,-54.90302,978628.54
-22.11427,-54.89986,978633.64
-22.11821,-54.89979,978634.93
-22.19622,-54.86458,978624.14
-22.19199,-54.86618,978623.33
-22.18789,-54.86822,978623.87
-22.18412,-54.87013,978624.77
-22.1801,-54.87241,978626.32
-22.17713,-54.87558,978628.31
-22.17326,-54.87656,978629.72
-22.16864,-54.8764,978631.32
-22.1643,-54.87666,978634.21
-22.15995,-54.87867,978636.3
-22.15627,-54.88019,978637.3
-22.16953,-54.87346,978632.0
-22.16624,-54.8715,978636.34
-22.16254,-54.87023,978631.51
-22.16183,-54.86551,978627.86
-22.16166,-54.86045,978624.34
-22.16241,-54.85578,978622.75
-22.16324,-54.85125,978622.03
-22.16471,-54.8466,978621.73
-22.16677,-54.84255,978621.99
-22.16882,-54.83805,978623.28
-22.17007,-54.8338,978624.56
-22.1712,-54.82897,978623.92
-22.17306,-54.82497,978623.16
-22.1745,-54.82064,978620.3
-22.17579,-54.81673,978620.04
-22.17721,-54.81235,978621.07
-22.16818,-54.83091,978624.75
-22.16477,-54.83349,978624.97
-22.16135,-54.83602,978624.92
-22.1572,-54.83814,978625.36
-22.15349,-54.8402,978625.89
-22.14938,-54.84124,978624.88
-22.14788,-54.84345,978623.43
-22.14816,-54.84803,978622.89
-22.14843,-54.85284,978622.14
-22.14873,-54.85715,978623.0
-22.14741,-54.86123,978625.73
-22.14497,-54.86482,978628.06
-22.14222,-54.86709,978630.32
-22.13917,-54.86947,978630.4
-22.13502,-54.87132,978631.63
-22.13159,-54.87155,978630.88
-22.12806,-54.86959,978629.78
-22.1245,-54.87171,978633.11
-22.12281,-54.87584,978635.4
-22.11933,-54.87722,978635.26
-22.12186,-54.88067,978633.07
-22.1214,-54.88439,978631.37
-22.1259,-54.88218,978629.66
-22.12864,-54.8794,978631.56
-22.1326,-54.87907,978630.74
-22.13642,-54.87734,978633.8
-22.13942,-54.87975,978630.83
-22.14283,-54.88273,978631.14
-22.14674,-54.88218,978634.08
-22.14748,-54.88533,978632.16
-22.14618,-54.88952,978629.89
-22.16932,-54.82635,978626.07
-22.16806,-54.82319,978625.39
-22.16875,-54.8185,978623.14
-22.16578,-54.81693,978623.33
-22.16182,-54.8162,978623.6
-22.15778,-54.8144,978624.26
-22.1545,-54.81277,978625.52
-22.15718,-54.80935,978624.37
-22.16005,-54.80575,978623.35
-22.15162,-54.85456,978623.81
-22.1558,-54.85326,978621.84
-22.15959,-54.85299,978621.67
-22.1665,-54.85536,978625.54
-22.17083,-54.8548,978624.91
