LAT,LONG,GOBS
-24.32920,-50.92500,978714.80
-24.33300,-50.78070,978704.31
-24.17620,-50.88660,978688.21
-24.14800,-50.87790,978686.39
-24.31740,-50.85900,978689.49
-24.31200,-50.89040,978690.49
-24.29630,-50.87190,978675.81
-24.18330,-52.41130,978691.46
-24.51560,-52.31970,978704.03
-24.78220,-51.76120,978671.94
-24.62160,-52.03690,978719.40
-26.17340,-50.18540,978795.42
-25.40970,-50.42180,978731.99
-25.43470,-50.17210,978732.36
-26.20050,-51.00760,978800.88
-26.37060,-51.21460,978782.08
-26.08390,-50.78600,978780.96
-26.07890,-50.33860,978796.81
-26.54270,-51.15110,978774.35
-25.53100,-50.65310,978751.70
-25.49990,-50.67310,978743.13
-25.81940,-50.83680,978762.36
-22.52040,-50.54980,978620.42
-22.69620,-51.13490,978653.15
-22.44060,-51.54910,978629.15
-25.57070,-51.03590,978675.48
-25.55140,-51.30070,978648.94
-22.87380,-51.01910,978656.69
-22.77120,-51.56890,978660.85
-22.78140,-51.29230,978657.01
-26.03640,-53.43330,978826.71
-26.03350,-53.39490,978803.43
-26.02910,-53.33810,978806.00
-26.02970,-53.27020,978816.29
-26.08770,-53.45650,978842.33
-26.08220,-53.40240,978836.62
-26.08230,-53.33790,978828.98
-26.08260,-53.26530,978794.38
-26.13540,-53.44580,978830.96
-26.14470,-53.39110,978853.60
-26.14220,-53.33670,978813.63
-26.13810,-53.27790,978816.29
-26.19690,-53.45350,978845.22
-26.18810,-53.39560,978815.03
-26.19260,-53.33630,978846.21
-26.18010,-53.28090,978822.36
-26.24060,-53.45540,978846.09
-26.25390,-53.41710,978788.57
-26.24610,-53.27180,978798.78
-26.28960,-53.47540,978798.14
-26.30010,-53.39840,978830.39
-26.30520,-53.33450,978792.11
-26.31800,-53.26760,978790.07
-26.34600,-53.45690,978803.25
-26.36290,-53.40490,978835.79
-26.36140,-53.33700,978844.79
-26.35670,-53.27790,978794.73
-26.41810,-53.46790,978823.28
-26.42650,-53.41070,978870.52
-26.41510,-53.34250,978861.72
-26.41200,-53.27920,978825.30
-26.47060,-53.46550,978832.60
-26.46780,-53.39830,978883.23
-26.48260,-53.34180,978859.03
-26.46790,-53.29180,978844.82
-26.51510,-53.46320,978842.34
-26.52490,-53.40160,978886.99
-26.52360,-53.34690,978860.60
-26.52140,-53.27570,978810.51
-26.03770,-53.21540,978790.14
-26.02970,-53.14120,978807.88
-26.04200,-53.10340,978805.86
-26.03320,-53.03760,978822.65
-26.09270,-53.20660,978800.96
-26.08240,-53.18140,978792.35
-26.08860,-53.09410,978822.97
-26.09490,-53.04660,978827.83
-26.12670,-53.21410,978815.14
-26.14280,-53.15950,978793.95
-26.14070,-53.10170,978824.76
-26.14080,-53.02970,978816.45
-26.19830,-53.21650,978817.07
-26.20900,-53.14940,978804.07
-26.20110,-53.09240,978798.67
-26.20270,-53.01460,978808.67
-26.24840,-53.21510,978821.33
-26.24720,-53.15030,978792.54
-26.26220,-53.12670,978803.84
-26.24710,-53.02760,978801.03
-26.31620,-53.19510,978785.86
-26.28380,-53.16980,978795.24
-26.30130,-53.07890,978805.56
-26.30310,-53.03610,978813.36
-26.35740,-53.16320,978782.16
-26.34560,-53.15760,978778.96
-26.34720,-53.08050,978808.91
-26.35830,-53.01620,978775.87
-26.39260,-53.22100,978797.08
-26.40510,-53.16440,978793.87
-26.41500,-53.09140,978783.97
-26.40680,-53.03490,978785.78
-26.47150,-53.23680,978805.02
-26.46460,-53.15530,978796.18
-26.46860,-53.11310,978795.46
-26.46590,-53.04010,978840.69
-26.55150,-53.22560,978885.37
-26.51680,-53.16610,978853.12
-25.55270,-53.49270,978860.05
-26.56030,-53.08280,978860.93
-26.53520,-53.04630,978846.59
-25.61880,-53.48430,978863.10
-26.03420,-52.97280,978823.18
-26.03730,-52.91480,978834.61
-26.03400,-52.84820,978804.85
-26.04020,-52.79030,978828.88
-26.07780,-52.95600,978829.34
-26.11790,-52.96000,978829.48
-26.09010,-52.83060,978822.66
-26.08470,-52.79320,978818.20
-25.71310,-53.48160,978854.85
-26.14660,-52.96940,978809.10
-26.15440,-52.91220,978815.92
-26.14710,-52.85200,978827.56
-25.76670,-53.05570,978816.03
-26.14800,-52.78910,978808.01
-26.20720,-52.96110,978816.68
-25.79210,-53.05200,978804.23
-26.18520,-52.92010,978813.60
-25.80670,-53.01760,978821.34
-26.20250,-52.85450,978817.70
-25.79680,-53.08420,978802.78
-26.19620,-52.79670,978818.83
-25.86830,-53.03650,978828.12
-26.25740,-52.97410,978800.91
-25.90710,-53.03250,978816.83
-26.23170,-52.91310,978813.97
-25.57330,-53.37720,978822.96
-26.24290,-52.84920,978812.76
-25.53350,-53.39630,978834.40
-25.50810,-53.44050,978856.02
-26.25990,-52.79560,978809.40
-25.54430,-53.35480,978850.82
-26.31500,-52.95950,978798.90
-25.58940,-53.34550,978824.17
-26.31070,-52.92010,978796.95
-26.24440,-52.83940,978823.42
-25.57250,-53.33260,978828.67
-26.31180,-52.80480,978809.68
-25.55390,-53.30410,978841.80
-25.58530,-53.27400,978842.73
-26.36220,-52.92820,978791.31
-26.36380,-52.85260,978786.81
-25.55740,-53.27170,978836.89
-26.36100,-52.79130,978811.66
-25.59400,-53.30830,978817.42
-26.41740,-52.98060,978825.67
-25.63870,-53.31790,978831.30
-25.63350,-53.28130,978829.60
-26.41970,-52.92000,978803.82
-25.60480,-53.27550,978828.57
-26.41460,-52.85650,978800.87
-25.63380,-53.25240,978819.75
-26.40520,-52.78640,978838.47
-26.46790,-52.97260,978834.57
-25.63510,-53.21390,978822.94
-26.46360,-52.91820,978842.92
-25.61120,-53.22900,978824.10
-25.58930,-53.24040,978835.90
-26.47350,-52.84000,978810.44
-26.46790,-52.79390,978846.62
-25.81950,-52.98570,978834.82
-26.52070,-52.99700,978829.73
-26.51890,-52.92020,978873.28
-25.83260,-52.95900,978813.12
-26.52330,-52.85330,978821.60
-26.53000,-52.80570,978818.01
-26.03870,-52.73570,978823.37
-26.09200,-52.73720,978803.94
-26.14990,-52.73430,978794.93
-26.20660,-52.74630,978812.11
-26.26040,-52.73310,978810.34
-26.30820,-52.73140,978800.53
-26.36300,-52.74060,978814.58
-26.41130,-52.73450,978815.50
-26.47760,-52.74490,978875.72
-26.52570,-52.74040,978882.50
-26.43610,-53.21700,978797.03
-26.30120,-53.17800,978811.01
-26.16230,-53.22620,978819.26
-26.05280,-52.66660,978838.18
-26.04040,-52.61410,978808.62
-26.03580,-52.55830,978831.33
-26.57480,-52.50230,978861.75
-26.08390,-52.67390,978810.71
-26.09240,-52.61060,978840.17
-26.09090,-52.55600,978822.17
-26.57690,-52.54940,978861.59
-26.15000,-52.66780,978797.97
-26.14790,-52.61130,978817.07
-26.14960,-52.55600,978839.57
-26.58010,-52.61850,978878.67
-26.18630,-52.66840,978800.85
-26.19740,-52.61970,978799.97
-26.19490,-52.57220,978793.49
-26.57770,-52.67260,978864.07
-26.25240,-52.67800,978784.55
-25.92760,-53.48100,978837.52
-26.25490,-52.62000,978786.85
-26.26120,-52.55840,978810.36
-26.57310,-52.73440,978880.32
-26.31680,-52.67190,978793.63
-26.31180,-52.61910,978811.64
-26.31190,-52.55740,978797.98
-26.63510,-52.50480,978879.41
-26.36870,-52.68340,978811.89
-26.35810,-52.61770,978807.44
-26.35210,-52.55900,978806.63
-25.81320,-53.48580,978838.88
-26.63800,-52.56080,978886.85
-25.83940,-53.48360,978838.81
-26.41020,-52.69620,978834.26
